y1_statefips,y2_statefips,y2_state,y2_state_name,n1,n2,AGI,y2_state,y2_state_name
06,16,ID,Idaho,7907,14845,820069,ID,Idaho
06,25,MA,Massachusetts,6565,9037,825498,MA,Massachusetts
06,15,HI,Hawaii,5598,9315,546992,HI,Hawaii
06,42,PA,Pennsylvania,5547,8526,563957,PA,Pennsylvania
06,39,OH,Ohio,5040,8221,420763,OH,Ohio
06,26,MI,Michigan,4987,8189,478838,MI,Michigan
06,34,NJ,New Jersey,4880,7479,668273,NJ,New Jersey
06,29,MO,Missouri,4443,7970,323770,MO,Missouri
06,24,MD,Maryland,4407,7330,441518,MD,Maryland
06,40,OK,Oklahoma,4207,8136,262605,OK,Oklahoma
06,45,SC,South Carolina,4179,7802,382592,SC,South Carolina
06,18,IN,Indiana,3482,6264,271484,IN,Indiana
06,27,MN,Minnesota,3396,5601,297322,MN,Minnesota
06,35,NM,New Mexico,3262,5252,250526,NM,New Mexico
06,55,WI,Wisconsin,3143,5119,244191,WI,Wisconsin
06,30,MT,Montana,2817,4695,306812,MT,Montana
06,05,AR,Arkansas,2736,5206,188510,AR,Arkansas
06,01,AL,Alabama,2342,4462,173793,AL,Alabama
06,20,KS,Kansas,2251,4218,151476,KS,Kansas
06,21,KY,Kentucky,2215,4048,168893,KY,Kentucky
06,09,CT,Connecticut,2146,3292,243954,CT,Connecticut
06,22,LA,Louisiana,2093,3508,145968,LA,Louisiana
06,11,DC,District Of Columbia,2037,2432,207384,DC,District Of Columbia
06,19,IA,Iowa,1830,3186,124063,IA,Iowa
06,31,NE,Nebraska,1398,2541,85401,NE,Nebraska
06,02,AK,Alaska,1363,2248,86280,AK,Alaska
06,46,SD,South Dakota,1243,2119,112281,SD,South Dakota
06,28,MS,Mississippi,1129,2097,73590,MS,Mississippi
06,56,WY,Wyoming,1092,1915,157060,WY,Wyoming
06,23,ME,Maine,937,1440,90444,ME,Maine
06,33,NH,New Hampshire,898,1432,122528,NH,New Hampshire
06,44,RI,Rhode Island,806,1221,71556,RI,Rhode Island
06,38,ND,North Dakota,749,1346,39619,ND,North Dakota
06,10,DE,Delaware,532,850,53707,DE,Delaware
06,50,VT,Vermont,523,784,53810,VT,Vermont
06,54,WV,West Virginia,473,847,31930,WV,West Virginia
08,96,US+FO,Total Migration-US and Foreign,112495,184470,9501374,US+FO,Total Migration-US and Foreign
08,97,US,Total Migration-US,110049,180132,9303527,US,Total Migration-US
08,98,FO,Total Migration-Foreign,2446,4338,197847,FO,Total Migration-Foreign
08,97,US,Total Migration-US,137982,213365,11017520,US,Total Migration-US
08,08,CO,Colorado,2313002,4460402,258758468,CO,Colorado
08,48,TX,Texas,12275,21783,1088464,TX,Texas
08,06,CA,California,9699,14394,877153,CA,California
08,12,FL,Florida,9070,15384,954126,FL,Florida
08,04,AZ,Arizona,6012,9585,584461,AZ,Arizona
08,53,WA,Washington,3935,6024,340922,WA,Washington
08,37,NC,North Carolina,3423,5995,289070,NC,North Carolina
08,36,NY,New York,3210,4349,273516,NY,New York
08,17,IL,Illinois,3198,4609,290695,IL,Illinois
08,29,MO,Missouri,2677,4572,194513,MO,Missouri
08,35,NM,New Mexico,2642,4328,168152,NM,New Mexico
08,51,VA,Virginia,2627,4636,229810,VA,Virginia
08,13,GA,Georgia,2571,4673,194905,GA,Georgia
08,49,UT,Utah,2489,4080,205319,UT,Utah
08,57,,,2446,4338,197847,,
08,20,KS,Kansas,2355,4234,149977,KS,Kansas
08,47,TN,Tennessee,2304,3835,225433,TN,Tennessee
08,41,OR,Oregon,2296,3367,169733,OR,Oregon
08,56,WY,Wyoming,2280,3825,179200,WY,Wyoming
08,40,OK,Oklahoma,2278,4228,156368,OK,Oklahoma
08,26,MI,Michigan,2100,3288,155180,MI,Michigan
08,39,OH,Ohio,2075,3319,154587,OH,Ohio
08,27,MN,Minnesota,2024,3084,154863,MN,Minnesota
08,42,PA,Pennsylvania,1944,3036,160738,PA,Pennsylvania
08,31,NE,Nebraska,1822,3019,120216,NE,Nebraska
08,32,NV,Nevada,1802,2876,162438,NV,Nevada
08,55,WI,Wisconsin,1771,2733,135063,WI,Wisconsin
08,45,SC,South Carolina,1698,3065,154574,SC,South Carolina
08,30,MT,Montana,1469,2235,137379,MT,Montana
08,25,MA,Massachusetts,1389,1900,125375,MA,Massachusetts
08,19,IA,Iowa,1346,2134,90423,IA,Iowa
08,18,IN,Indiana,1340,2214,97062,IN,Indiana
08,01,AL,Alabama,1261,2360,98511,AL,Alabama
08,24,MD,Maryland,1209,1946,106623,MD,Maryland
08,16,ID,Idaho,1188,2134,111417,ID,Idaho
08,05,AR,Arkansas,1100,1971,82990,AR,Arkansas
08,46,SD,South Dakota,990,1647,76169,SD,South Dakota
08,34,NJ,New Jersey,978,1424,86408,NJ,New Jersey
08,15,HI,Hawaii,915,1590,66311,HI,Hawaii
08,22,LA,Louisiana,907,1563,56192,LA,Louisiana
08,21,KY,Kentucky,907,1687,56858,KY,Kentucky
08,09,CT,Connecticut,661,1018,61194,CT,Connecticut
08,02,AK,Alaska,625,1054,43218,AK,Alaska
08,28,MS,Mississippi,518,858,31490,MS,Mississippi
08,23,ME,Maine,468,733,38518,ME,Maine
08,38,ND,North Dakota,451,767,28560,ND,North Dakota
08,11,DC,District Of Columbia,427,516,33689,DC,District Of Columbia
08,33,NH,New Hampshire,399,622,41120,NH,New Hampshire
08,50,VT,Vermont,331,489,21891,VT,Vermont
08,54,WV,West Virginia,240,411,14980,WV,West Virginia
08,44,RI,Rhode Island,206,309,17036,RI,Rhode Island
08,10,DE,Delaware,147,229,10641,DE,Delaware
09,96,US+FO,Total Migration-US and Foreign,55029,83943,5903644,US+FO,Total Migration-US and Foreign
09,97,US,Total Migration-US,53627,81733,5774217,US,Total Migration-US
09,98,FO,Total Migration-Foreign,1402,2210,129428,FO,Total Migration-Foreign
09,97,US,Total Migration-US,35019,54503,2627573,US,Total Migration-US
09,09,CT,Connecticut,1485668,2835790,193117324,CT,Connecticut
09,36,NY,New York,10486,14645,1203524,NY,New York
09,12,FL,Florida,7668,12876,1210370,FL,Florida
09,25,MA,Massachusetts,6467,8711,556383,MA,Massachusetts
09,06,CA,California,2534,3536,312205,CA,California
09,37,NC,North Carolina,2442,4184,228226,NC,North Carolina
09,48,TX,Texas,2170,3755,237316,TX,Texas
09,34,NJ,New Jersey,2060,3165,230014,NJ,New Jersey
09,42,PA,Pennsylvania,1752,2646,148840,PA,Pennsylvania
09,45,SC,South Carolina,1698,2915,189607,SC,South Carolina
09,51,VA,Virginia,1541,2518,135590,VA,Virginia
09,44,RI,Rhode Island,1494,2135,136992,RI,Rhode Island
09,57,,,1402,2210,129428,,
09,13,GA,Georgia,1341,2324,108889,GA,Georgia
09,33,NH,New Hampshire,937,1447,119081,NH,New Hampshire
09,08,CO,Colorado,883,1147,76736,CO,Colorado
09,24,MD,Maryland,845,1314,67177,MD,Maryland
09,23,ME,Maine,796,1213,74304,ME,Maine
09,17,IL,Illinois,748,1078,83612,IL,Illinois
09,47,TN,Tennessee,677,1173,66882,TN,Tennessee
09,53,WA,Washington,650,977,50720,WA,Washington
09,04,AZ,Arizona,640,1014,59499,AZ,Arizona
09,50,VT,Vermont,579,759,50556,VT,Vermont
09,39,OH,Ohio,566,905,44812,OH,Ohio
09,11,DC,District Of Columbia,504,579,39373,DC,District Of Columbia
09,26,MI,Michigan,402,626,34700,MI,Michigan
09,01,AL,Alabama,267,480,21540,AL,Alabama
09,29,MO,Missouri,261,421,21710,MO,Missouri
09,27,MN,Minnesota,255,420,24220,MN,Minnesota
09,32,NV,Nevada,239,374,20499,NV,Nevada
09,49,UT,Utah,237,394,34005,UT,Utah
09,18,IN,Indiana,236,406,17479,IN,Indiana
09,55,WI,Wisconsin,232,373,19903,WI,Wisconsin
09,10,DE,Delaware,218,348,21582,DE,Delaware
09,41,OR,Oregon,197,307,16911,OR,Oregon
09,21,KY,Kentucky,197,351,14049,KY,Kentucky
09,15,HI,Hawaii,184,317,11976,HI,Hawaii
09,22,LA,Louisiana,165,260,10357,LA,Louisiana
09,40,OK,Oklahoma,123,194,8041,OK,Oklahoma
09,35,NM,New Mexico,105,151,9105,NM,New Mexico
09,19,IA,Iowa,96,137,5096,IA,Iowa
09,20,KS,Kansas,93,145,6820,KS,Kansas
09,05,AR,Arkansas,86,150,7545,AR,Arkansas
09,28,MS,Mississippi,78,141,4276,MS,Mississippi
09,16,ID,Idaho,76,122,5404,ID,Idaho
09,30,MT,Montana,73,100,4061,MT,Montana
09,31,NE,Nebraska,71,122,6292,NE,Nebraska
09,54,WV,West Virginia,67,104,4247,WV,West Virginia
09,02,AK,Alaska,65,94,3459,AK,Alaska
09,46,SD,South Dakota,57,84,4730,SD,South Dakota
09,56,WY,Wyoming,39,58,4483,WY,Wyoming
09,38,ND,North Dakota,30,38,1019,ND,North Dakota
10,96,US+FO,Total Migration-US and Foreign,17538,28513,1338105,US+FO,Total Migration-US and Foreign
